1427198085.740079,$VNQMR,+0.268937,+0.963139,+0.001756,+0.005745,-01.7930,+01.1394,-03.3476,+00.114,-00.055,+09.723,-00.000178,+00.000834,+00.001326*44
1427198085.762243,$VNQMR,+0.268949,+0.963136,+0.001748,+0.005737,-01.7831,+01.0955,-03.3619,+00.098,-00.040,+09.654,+00.000819,+00.000978,+00.000478*49
1427198085.780099,$VNQMR,+0.268964,+0.963132,+0.001741,+0.005748,-01.7821,+01.1538,-03.3179,+00.103,-00.045,+09.676,-00.000301,+00.000944,-00.000579*4E
1427198085.800115,$VNQMR,+0.268983,+0.963126,+0.001743,+0.005747,-01.7792,+01.1283,-03.3509,+00.094,-00.060,+09.689,+00.000193,+00.000196,+00.001097*4E
1427198085.820197,$VNQMR,+0.268987,+0.963125,+0.001737,+0.005746,-01.7895,+01.1761,-03.3920,+00.100,-00.051,+09.640,-00.000807,+00.000025,+00.000305*44
1427198085.839602,$VNQMR,+0.268996,+0.963123,+0.001739,+0.005735,-01.7901,+01.1029,-03.3695,+00.096,-00.036,+09.678,-00.000288,-00.000342,-00.000595*4A
1427198085.860134,$VNQMR,+0.269002,+0.963121,+0.001724,+0.005740,-01.7968,+01.1249,-03.3697,+00.100,-00.045,+09.662,+00.000167,-00.000501,-00.000343*43
1427198085.880124,$VNQMR,+0.269015,+0.963117,+0.001715,+0.005738,-01.7823,+01.1465,-03.3327,+00.092,-00.046,+09.664,+00.000923,-00.000737,+00.001133*47
1427198085.900098,$VNQMR,+0.269037,+0.963111,+0.001707,+0.005742,-01.7829,+01.1101,-03.3546,+00.095,-00.070,+09.672,+00.000427,-00.001374,+00.001911*45
1427198085.920892,$VNQMR,+0.269048,+0.963108,+0.001705,+0.005744,-01.7903,+01.0883,-03.3768,+00.097,-00.056,+09.702,+00.000201,+00.000201,+00.000593*45
1427198085.941696,$VNQMR,+0.269061,+0.963105,+0.001697,+0.005752,-01.7892,+01.1649,-03.3440,+00.124,-00.062,+09.679,+00.000758,-00.000895,-00.001013*46
1427198085.960026,$VNQMR,+0.269069,+0.963102,+0.001699,+0.005756,-01.7968,+01.1249,-03.3624,+00.099,-00.066,+09.692,-00.000711,-00.000124,-00.000836*43
1427198085.981047,$VNQMR,+0.269078,+0.963100,+0.001688,+0.005763,-01.7897,+01.1174,-03.3400,+00.116,-00.056,+09.705,+00.000438,-00.000105,+00.000156*41
1427198086.002013,$VNQMR,+0.269092,+0.963096,+0.001678,+0.005754,-01.7968,+01.1028,-03.3327,+00.088,-00.030,+09.692,-00.000461,-00.000589,-00.000275*4C
1427198086.020440,$VNQMR,+0.269107,+0.963092,+0.001664,+0.005769,-01.7761,+01.1174,-03.3841,+00.108,-00.064,+09.694,+00.000955,+00.000324,+00.000364*40
1427198086.043564,$VNQMR,+0.269121,+0.963088,+0.001667,+0.005756,-01.7965,+01.1321,-03.3403,+00.100,-00.077,+09.677,+00.000050,+00.000061,-00.000401*49
1427198086.060171,$VNQMR,+0.269140,+0.963083,+0.001669,+0.005761,-01.7826,+01.1246,-03.3326,+00.097,-00.060,+09.686,+00.000677,-00.000717,+00.000289*4D
1427198086.080157,$VNQMR,+0.269162,+0.963076,+0.001669,+0.005761,-01.7823,+01.1686,-03.3587,+00.090,-00.065,+09.714,-00.000445,+00.000852,+00.000659*4B
1427198086.101114,$VNQMR,+0.269168,+0.963075,+0.001673,+0.005749,-01.7900,+01.0955,-03.3547,+00.098,-00.089,+09.680,+00.000120,+00.000822,+00.000068*4A
1427198086.120730,$VNQMR,+0.269176,+0.963073,+0.001678,+0.005738,-01.7896,+01.1174,-03.3327,+00.079,-00.069,+09.700,-00.000070,+00.000021,-00.000183*49
1427198086.140133,$VNQMR,+0.269194,+0.963067,+0.001679,+0.005739,-01.7863,+01.1174,-03.3548,+00.107,-00.064,+09.689,-00.000076,-00.000264,+00.000190*47
1427198086.160468,$VNQMR,+0.269207,+0.963064,+0.001685,+0.005747,-01.7823,+01.1686,-03.3550,+00.109,-00.064,+09.697,+00.000079,-00.000876,-00.000103*4D
